# chassis
CH:OS4	Chassis for Optical Switch OS4	10000
CH:OS6	Chassis for Optical Switch OS6	12000
CH:OS16	Chassis for Optical Switch OS16	25000
# boards
B:FP	Blank faceplate for board slots	20
B:8x10_16x1	8 x 10 G + 16 x 1 G board	20000
B:8x10	8 x 10 G board	15000
B:16x10	16 x 10 G board	25000
B:16xE1_75	16 x E1 electrical board (75 Ohm)	3000
B:16xE1_120	16 x E1 electrical board (120 Ohm)	3000
B:2x40	2 x 40 G board	20000
B:1x100	1 x 100 G board	20000
B:2xMOD	Module-carrier board for 2 modules	500
# modules
M:FP	Blank faceplate for module slots	10
M:6xE1_75	6 x E1 module (75 Ohm)	250
M:6xE1_120	6 x E1 module (120 Ohm)	250
M:6xE3	6 x E3 module	400
M:6xSTM1	6 x STM-1e module	300
M:8xFE	8 x FE module	150
M:4xGE	4 x GE module	200
# transceivers
SFP:SX	SFP SX (850 nm, up to 550 m)	100
SFP:LX	SFP LX (1310 nm, up to 10 km)	150
SFP:EX	SFP EX (1310 nm, up to 40 km)	200
SFP:ZX	SFP ZX (1550 nm, up to 80 km)	250
SFP:BX	SFP BX (1490 nm/1310 nm, 10 km)	220
SFP:1000BT	SFP 1000BASE-T (electrical)	50
SFP:C4:1471.00	SFP CWDM (40 km, 1471.00 nm)	1000
SFP:C4:1491.00	SFP CWDM (40 km, 1491.00 nm)	1000
SFP:C4:1511.00	SFP CWDM (40 km, 1511.00 nm)	1000
SFP:C4:1531.00	SFP CWDM (40 km, 1531.00 nm)	1000
SFP:C4:1551.00	SFP CWDM (40 km, 1551.00 nm)	1000
SFP:C4:1571.00	SFP CWDM (40 km, 1571.00 nm)	1000
SFP:C4:1591.00	SFP CWDM (40 km, 1591.00 nm)	1000
SFP:C4:1611.00	SFP CWDM (40 km, 1611.00 nm)	1000
SFP:C8:1471.00	SFP CWDM (80 km, 1471.00 nm)	1500
SFP:C8:1491.00	SFP CWDM (80 km, 1491.00 nm)	1500
SFP:C8:1511.00	SFP CWDM (80 km, 1511.00 nm)	1500
SFP:C8:1531.00	SFP CWDM (80 km, 1531.00 nm)	1500
SFP:C8:1551.00	SFP CWDM (80 km, 1551.00 nm)	1500
SFP:C8:1571.00	SFP CWDM (80 km, 1571.00 nm)	1500
SFP:C8:1591.00	SFP CWDM (80 km, 1591.00 nm)	1500
SFP:C8:1611.00	SFP CWDM (80 km, 1611.00 nm)	1500
SFP+:SR	SFP+ SR (850 nm, up to 300 m)	1000
SFP+:LR	SFP+ LR (1310 nm, up to 10 km)	1200
SFP+:ER	SFP+ ER (1550 nm, up to 40 km)	1500
SFP+:ZR	SFP+ ZR (1550 nm, up to 80 km)	1800
SFP+:C4:1471.00	SFP+ CWDM (40 km, 1471.00 nm)	4000
SFP+:C4:1491.00	SFP+ CWDM (40 km, 1491.00 nm)	4000
